date,price,open,high,low,change
"May 26, 2022",2644.1,2644.1,2644.1,2644.1,0.0001
"May 25, 2022",2643.78,2643.78,2643.78,2643.78,0.0002
"May 24, 2022",2643.31,2643.31,2643.31,2643.31,0.0003
"May 23, 2022",2642.61,2642.61,2642.61,2642.61,0.0007
"May 20, 2022",2640.84,2640.84,2640.84,2640.84,-0.0001
"May 19, 2022",2640.98,2640.98,2640.98,2640.98,0.0002
"May 18, 2022",2640.52,2640.52,2640.52,2640.52,0.0002
"May 17, 2022",2639.99,2639.99,2639.99,2639.99,0.0004
"May 13, 2022",2639,2639,2639,2639,-0.0008
"May 12, 2022",2641.02,2641.02,2641.02,2641.02,0.0002
"May 11, 2022",2640.62,2640.62,2640.62,2640.62,0.0005
"May 10, 2022",2639.3,2639.3,2639.3,2639.3,0.0002
"May 09, 2022",2638.77,2638.77,2638.77,2638.77,-0.0001
"May 06, 2022",2639.11,2639.11,2639.11,2639.11,-0.0017
"May 05, 2022",2643.53,2643.53,2643.53,2643.53,-0.0013
"May 04, 2022",2646.94,2646.94,2646.94,2646.94,-0.0066
"May 02, 2022",2664.39,2664.39,2664.39,2664.39,0.0003
"Apr 29, 2022",2663.48,2663.48,2663.48,2663.48,0.0001
"Apr 28, 2022",2663.32,2663.32,2663.32,2663.32,-0.0002
"Apr 27, 2022",2663.73,2663.73,2663.73,2663.73,0.0002
"Apr 26, 2022",2663.29,2663.29,2663.29,2663.29,0
"Apr 25, 2022",2663.24,2663.24,2663.24,2663.24,0.0009
"Apr 22, 2022",2660.95,2660.95,2660.95,2660.95,0.0001
"Apr 21, 2022",2660.72,2660.72,2660.72,2660.72,0
"Apr 20, 2022",2660.64,2660.64,2660.64,2660.64,0.0001
"Apr 19, 2022",2660.37,2660.37,2660.37,2660.37,0.001
"Apr 18, 2022",2657.7,2657.7,2657.7,2657.7,0.001
"Apr 13, 2022",2655.02,2655.02,2655.02,2655.02,-0.0015
"Apr 12, 2022",2659.08,2659.08,2659.08,2659.08,0
"Apr 11, 2022",2659.07,2659.07,2659.07,2659.07,-0.0012
"Apr 08, 2022",2662.16,2662.16,2662.16,2662.16,-0.0026
"Apr 07, 2022",2669.14,2669.14,2669.14,2669.14,0.0003
"Apr 06, 2022",2668.43,2668.43,2668.43,2668.43,-0.0004
"Apr 05, 2022",2669.51,2669.51,2669.51,2669.51,0.0001
"Apr 04, 2022",2669.31,2669.31,2669.31,2669.31,0.0005
"Mar 31, 2022",2668.04,2668.04,2668.04,2668.04,0.0004
"Mar 30, 2022",2666.91,2666.91,2666.91,2666.91,0.0008
"Mar 29, 2022",2664.8,2664.8,2664.8,2664.8,0.0001
"Mar 28, 2022",2664.5,2664.5,2664.5,2664.5,0.0003
