date,price,open,high,low,vol,change
22-12-2023,722.47,714.59,728.75,709.81,12.06M,0.02
21-12-2023,706.67,700.84,709.71,694.11,7.70M,0.01
20-12-2023,703.08,728.70,730.74,700.89,8.11M,-0.03
19-12-2023,726.71,730.35,730.35,723.77,4.51M,0
18-12-2023,728.55,730.65,732.49,725.86,5.45M,0
15-12-2023,730.15,721.67,731.74,719.03,12.08M,0.02
14-12-2023,717.54,721.77,722.47,716.39,6.73M,0
13-12-2023,718.08,713.80,719.23,711.30,5.81M,0.01
12-12-2023,713.20,722.57,722.57,710.81,6.46M,-0.01
11-12-2023,718.58,715.59,724.27,714.35,6.40M,0.01
08-12-2023,712.35,719.83,725.36,705.32,8.56M,-0.01
07-12-2023,719.73,722.77,725.26,713.80,10.45M,0
06-12-2023,720.23,706.87,722.57,706.82,12.15M,0.02
05-12-2023,706.77,703.73,712.70,702.83,9.60M,0
04-12-2023,703.43,713.80,714.79,702.63,9.35M,0
01-12-2023,703.28,705.82,708.81,700.84,10.57M,0
30-11-2023,704.23,714.10,715.04,694.86,24.28M,-0.01
29-11-2023,710.16,700.59,712.20,692.21,16.12M,0.02
28-11-2023,695.35,675.37,697.30,672.18,16.02M,0.04
24-11-2023,671.63,679.30,679.85,669.18,6.95M,-0.01
23-11-2023,677.86,681.10,683.79,674.97,5.89M,0
22-11-2023,679.10,681.85,685.24,673.97,9.28M,0
21-11-2023,679.60,674.92,681.20,672.92,7.29M,0.01
20-11-2023,672.23,679.90,684.64,668.64,8.32M,-0.01
17-11-2023,679.45,680.40,685.53,677.51,9.56M,0
16-11-2023,678.31,671.93,683.39,668.84,17.50M,0.01
15-11-2023,669.48,657.97,671.43,654.53,11.32M,0.03
13-11-2023,651.24,650.99,651.99,647.30,3.28M,0
12-11-2023,653.55,657.95,657.95,652.70,2.24M,0.01
10-11-2023,649.05,647.35,650.94,642.02,6.43M,0
09-11-2023,647.35,642.02,651.64,640.72,10.16M,0.01
08-11-2023,640.57,646.01,647.05,639.93,6.55M,0
07-11-2023,643.02,643.02,647.90,641.32,6.59M,0
06-11-2023,644.06,650.84,650.84,641.22,10.80M,0
03-11-2023,645.51,659.96,663.95,644.21,23.09M,0.02
02-11-2023,634.49,630.06,636.24,628.16,9.93M,0.01
01-11-2023,625.77,628.06,631.85,624.37,8.79M,0
31-10-2023,626.72,640.03,640.03,625.37,11.40M,0
30-10-2023,626.57,641.82,641.82,619.94,12.79M,-0.02
27-10-2023,639.08,628.06,641.97,626.52,10.23M,0.02
26-10-2023,624.62,633.05,633.70,622.23,8.89M,-0.02
25-10-2023,635.89,648.00,649.90,634.09,8.23M,-0.01
23-10-2023,645.36,661.61,665.20,643.02,8.56M,-0.02
20-10-2023,661.16,664.60,674.32,658.47,11.76M,-0.01
19-10-2023,666.74,660.91,670.23,656.57,10.63M,0
18-10-2023,666.44,656.57,670.18,651.79,14.91M,0.02
17-10-2023,653.68,667.94,668.84,652.64,10.26M,-0.02
16-10-2023,664.15,666.49,675.72,659.22,20.01M,0
13-10-2023,665.05,632.00,666.94,631.05,28.01M,0.05
12-10-2023,634.99,635.04,638.23,633.10,5.93M,0
11-10-2023,632.05,631.05,635.84,630.65,7.70M,0.01
10-10-2023,628.61,618.09,630.55,615.70,9.83M,0.02
09-10-2023,615.45,618.89,620.09,611.81,6.38M,-0.01
06-10-2023,620.53,625.07,625.42,618.09,7.92M,0
05-10-2023,617.69,617.10,619.44,612.76,7.89M,0.01
04-10-2023,611.71,618.89,618.89,606.43,7.61M,-0.01
03-10-2023,618.54,630.65,630.70,616.70,6.89M,-0.02
29-09-2023,628.26,616.80,631.05,615.10,8.97M,0.03
28-09-2023,612.21,620.98,621.88,610.37,6.77M,-0.01
27-09-2023,618.24,618.04,619.99,614.85,5.96M,0
26-09-2023,617.89,616.80,623.78,616.05,6.27M,0
25-09-2023,616.80,621.93,623.28,616.00,6.39M,0
22-09-2023,618.54,626.07,628.86,617.10,6.55M,-0.01
21-09-2023,625.12,636.54,639.73,622.08,9.27M,-0.02
20-09-2023,636.54,638.73,645.01,635.04,11.78M,0
18-09-2023,638.68,633.94,642.22,631.20,11.11M,0.01
15-09-2023,632.30,626.77,634.54,625.22,18.92M,0.02
14-09-2023,622.68,626.17,628.86,621.38,5.72M,0
13-09-2023,623.97,619.09,626.57,617.64,6.99M,0.01
12-09-2023,618.89,636.04,637.03,613.36,12.54M,-0.02
11-09-2023,632.90,632.70,633.45,628.56,8.78M,0.01
08-09-2023,625.32,616.05,626.97,612.31,16.19M,0.02
07-09-2023,613.01,609.02,614.60,607.18,6.52M,0.01
06-09-2023,608.37,609.27,610.67,603.74,6.52M,0
05-09-2023,609.27,608.12,617.00,606.18,8.56M,0
04-09-2023,607.13,613.71,613.71,604.14,8.39M,0
01-09-2023,609.32,602.34,613.01,600.05,10.30M,0.02
31-08-2023,599.15,606.93,607.78,597.21,10.54M,-0.01
30-08-2023,603.69,609.32,611.02,603.14,5.68M,0
29-08-2023,605.28,601.74,608.62,601.74,6.96M,0.01
28-08-2023,600.55,603.54,606.63,599.70,7.48M,0
25-08-2023,603.24,608.97,614.80,591.47,16.08M,-0.01
24-08-2023,609.07,616.10,617.10,607.78,7.10M,0
23-08-2023,612.01,620.83,620.83,611.26,8.25M,-0.01
22-08-2023,618.29,619.89,624.57,616.70,8.53M,0
21-08-2023,618.59,615.10,621.38,612.91,9.58M,0.01
18-08-2023,613.91,610.91,618.19,609.02,11.19M,0
17-08-2023,611.86,618.09,620.09,609.12,12.12M,-0.01
16-08-2023,616.85,604.83,619.44,595.46,14.56M,0.02
14-08-2023,605.48,610.12,610.12,592.67,14.49M,-0.01
11-08-2023,609.92,617.84,622.83,608.12,9.35M,-0.01
10-08-2023,616.35,621.08,626.37,596.16,53.12M,-0.01
09-08-2023,620.64,608.72,622.08,603.49,13.36M,0.03
08-08-2023,605.43,610.67,612.86,603.39,8.86M,0
07-08-2023,607.63,617.10,617.10,606.63,9.89M,-0.01
04-08-2023,613.11,622.93,623.08,611.41,11.81M,-0.01
03-08-2023,617.05,621.08,624.52,612.26,11.46M,-0.01
02-08-2023,620.73,642.02,642.32,614.55,15.76M,-0.03
01-08-2023,641.67,643.02,650.89,640.03,8.92M,0
31-07-2023,642.32,638.23,643.56,633.94,7.50M,0.01
28-07-2023,633.35,644.01,644.01,629.86,9.30M,-0.01
27-07-2023,641.72,645.01,646.46,634.79,11.70M,0
26-07-2023,639.13,638.03,663.35,637.03,31.67M,0
25-07-2023,637.48,634.04,640.52,631.40,13.99M,0.02
24-07-2023,627.31,626.02,632.50,624.32,12.25M,0.01
21-07-2023,623.83,619.09,629.06,615.80,12.91M,0.01
20-07-2023,619.74,620.73,621.68,614.30,7.83M,0
19-07-2023,618.69,612.11,623.38,608.27,11.13M,0.01
18-07-2023,610.22,618.49,618.94,605.13,10.36M,-0.01
17-07-2023,616.60,624.97,625.07,615.25,7.58M,-0.01
14-07-2023,622.98,621.08,624.07,617.59,7.01M,0.01
13-07-2023,618.74,623.08,624.57,613.61,9.69M,0
12-07-2023,619.54,628.01,628.86,617.45,10.79M,-0.01
11-07-2023,626.57,623.03,628.51,620.24,12.05M,0.02
10-07-2023,616.75,622.08,632.85,615.65,23.80M,0
07-07-2023,616.30,598.15,622.88,590.38,21.07M,0.03
06-07-2023,598.95,588.98,603.09,586.74,14.36M,0.02
05-07-2023,586.44,590.18,591.18,583.15,8.72M,-0.01
04-07-2023,589.63,592.57,594.57,587.69,6.92M,0
03-07-2023,588.98,598.15,600.45,588.18,11.13M,-0.01
30-06-2023,593.72,586.54,597.16,586.19,12.49M,0.02
28-06-2023,584.84,577.22,588.18,573.73,16.72M,0.02
27-06-2023,571.34,568.25,575.13,566.70,9.40M,0.01
26-06-2023,566.10,558.28,567.25,556.08,6.99M,0.01
23-06-2023,557.93,568.25,569.39,555.98,9.36M,-0.02
22-06-2023,567.60,582.20,582.90,566.45,11.23M,-0.02
21-06-2023,579.61,583.15,584.10,572.73,9.15M,0
20-06-2023,581.46,564.31,582.15,560.77,18.07M,0.03
19-06-2023,564.31,568.90,571.44,562.47,6.28M,-0.01
16-06-2023,568.05,567.90,570.44,564.31,8.74M,0
15-06-2023,566.70,570.04,573.23,566.00,12.48M,0
14-06-2023,568.55,564.26,569.44,562.27,12.71M,0.01
13-06-2023,560.47,565.95,569.29,559.03,12.85M,0
12-06-2023,562.41,565.26,567.15,558.92,7.60M,0
09-06-2023,560.57,562.66,564.71,557.58,9.36M,0
08-06-2023,557.98,568.25,574.78,555.29,21.53M,-0.01
07-06-2023,566.20,557.08,573.23,550.45,20.86M,0.02
06-06-2023,554.04,547.76,555.29,543.67,15.40M,0.02
05-06-2023,544.57,537.34,547.11,536.24,15.01M,0.02
02-06-2023,534.25,535.35,539.59,531.11,12.29M,0
01-06-2023,533.55,525.88,534.60,521.24,12.51M,0.02
31-05-2023,524.68,518.35,525.88,514.81,12.33M,0.01
30-05-2023,517.20,519.85,521.89,516.41,5.13M,-0.01
29-05-2023,519.85,523.39,523.48,518.10,6.60M,0.01
26-05-2023,516.85,513.32,518.15,510.62,8.36M,0.01
25-05-2023,513.27,516.41,516.41,507.53,11.54M,-0.01
24-05-2023,518.60,525.53,528.02,517.55,7.65M,-0.02
23-05-2023,526.87,520.89,529.37,519.55,12.26M,0.01
22-05-2023,520.89,523.34,525.38,517.75,9.98M,0
19-05-2023,523.34,508.23,524.78,503.20,19.34M,0.03
18-05-2023,506.89,517.20,519.30,505.54,12.29M,-0.01
17-05-2023,513.91,520.89,522.34,510.92,13.68M,-0.01
16-05-2023,519.55,532.31,534.30,517.25,16.51M,-0.02
15-05-2023,529.22,522.24,535.50,519.90,38.27M,0.03
12-05-2023,514.36,512.32,518.90,508.73,19.77M,0.01
11-05-2023,510.03,510.42,512.57,503.95,11.45M,0
10-05-2023,507.93,506.44,511.32,502.80,12.48M,0.01
09-05-2023,502.10,500.46,511.22,500.01,19.82M,0.01
08-05-2023,498.96,478.52,500.76,476.63,23.52M,0.05
05-05-2023,475.63,480.17,483.21,474.68,4.83M,-0.01
04-05-2023,479.32,482.11,484.90,477.28,5.65M,-0.01
03-05-2023,482.21,478.77,483.61,476.28,8.53M,0.01
02-05-2023,478.77,481.02,482.51,473.09,11.54M,-0.01
28-04-2023,483.46,479.92,486.50,476.88,9.95M,0.01
27-04-2023,480.12,477.03,480.52,475.03,7.09M,0.01
26-04-2023,476.73,471.55,478.02,471.15,7.79M,0.01
25-04-2023,472.09,473.74,474.93,470.45,6.89M,0
24-04-2023,473.74,469.75,474.54,466.86,8.02M,0.01
21-04-2023,469.75,475.23,475.23,465.76,8.48M,-0.01
20-04-2023,475.33,472.24,478.22,467.96,14.26M,0.02
19-04-2023,467.96,471.55,474.04,466.41,7.37M,-0.01
18-04-2023,471.55,473.54,481.86,466.66,16.14M,0
17-04-2023,470.70,469.55,471.55,464.37,10.71M,0.01
13-04-2023,468.06,463.52,470.55,461.83,12.73M,0.01
12-04-2023,464.07,457.94,467.16,456.79,13.55M,0.01
11-04-2023,457.29,462.32,462.32,454.40,14.50M,-0.01
