date,price,open,high,low,vol,change
05-06-2009,141.54,139.58,142.78,138.21,10.11M,0.02
04-06-2009,138.57,135.8,139.66,134.9,12.13M,0.01
03-06-2009,136.77,141.68,142.48,134.49,14.33M,-0.02
02-06-2009,139.47,143.13,144.68,137.59,9.79M,-0.03
01-06-2009,143.05,145.08,148.07,141.36,11.11M,-0.01
29-05-2009,144.13,144.14,145.67,141.78,15.36M,0.00
28-05-2009,143.68,139.79,145.05,138.09,35.15M,0.02
27-05-2009,140.6,136.71,141.58,136.42,26.97M,0.05
26-05-2009,133.3,136.55,138.89,132.21,12.48M,-0.02
25-05-2009,136.06,137.19,138.68,134.34,8.38M,0.00
22-05-2009,136.68,135.6,139.08,133.82,9.14M,0.00
21-05-2009,136.8,137.13,140.19,133.12,19.09M,-0.01
20-05-2009,137.75,139.39,140.79,134.8,14.52M,-0.02
19-05-2009,140.87,138.89,149.57,120.36,49.65M,0.02
18-05-2009,137.5,125.83,153.63,125.83,135.75K,0.16
15-05-2009,118.23,117.24,118.94,115.46,20.76M,0.02
14-05-2009,116.11,114.97,116.64,111.88,9.60M,0.00
13-05-2009,116.17,119.23,119.61,114.45,23.76M,-0.03
12-05-2009,119.26,114.15,120.13,113.67,17.30M,0.04
11-05-2009,114.45,118.51,118.51,113.55,16.92M,0.00
08-05-2009,114.15,115.74,117.24,111.21,22.57M,-0.03
07-05-2009,117.37,117.74,118.54,116.41,7.73M,0.00
06-05-2009,116.93,118.75,119.63,115.84,12.14M,-0.02
05-05-2009,119.06,120.41,120.73,116.24,15.23M,-0.01
04-05-2009,119.67,114.75,120.43,111.78,22.63M,0.09
29-04-2009,109.79,108.36,110.75,106.96,21.43M,0.03
28-04-2009,106.95,111.58,112.45,106.06,14.80M,-0.04
27-04-2009,111.29,109.76,113.74,108.76,14.39M,0.00
24-04-2009,110.78,109.76,112.04,107.46,18.66M,0.02
23-04-2009,109.01,109.26,109.76,106.31,14.41M,0.00
22-04-2009,108.69,108.76,109.99,106.26,12.09M,0.00
21-04-2009,108.47,103.77,109.76,103.25,15.05M,0.02
20-04-2009,106.47,106.76,109.76,104.59,11.47M,0.00
17-04-2009,106.95,108.16,109.56,105.42,23.52M,0.01
16-04-2009,106.37,109.64,110.53,105.49,19.52M,-0.02
15-04-2009,108.03,105.25,110.22,104.02,31.34M,-0.01
13-04-2009,109.59,103.77,111.25,103.77,17.11M,0.05
09-04-2009,104.21,106.14,107.76,102.98,14.89M,0.00
08-04-2009,104.44,106.26,106.26,99.01,26.51M,-0.02
06-04-2009,106.18,105.27,107.26,103.79,13.47M,0.03
02-04-2009,103.42,100.88,104.96,100.88,17.80M,0.04
01-04-2009,99.78,98.28,100.28,94.95,12.95M,0.03
31-03-2009,97.12,94.99,98.57,90.24,37.20M,0.03
30-03-2009,94.34,97.78,97.78,93.86,13.25M,-0.06
27-03-2009,99.92,97.88,101.08,97.87,22.88M,0.01
26-03-2009,99.12,98.58,100.28,97.3,23.16M,0.02
25-03-2009,97,94.58,97.47,93.49,17.91M,0.03
24-03-2009,93.96,91.42,97.18,90.8,37.70M,0.06
23-03-2009,88.3,85.2,89.78,84.01,20.45M,0.05
20-03-2009,83.74,82.8,83.98,80.92,20.29M,0.01
19-03-2009,83.06,84.68,86.11,81.72,24.43M,-0.01
18-03-2009,84.11,83.8,85.81,83.04,18.91M,0.02
17-03-2009,82.63,84.21,85.71,80.73,20.92M,-0.02
16-03-2009,84.3,83.81,85.07,82.48,27.26M,0.01
13-03-2009,83.24,81.32,83.49,81.04,45.73M,0.04
12-03-2009,79.69,81.32,83.21,78.94,28.71M,0.00
09-03-2009,79.7,79.72,81.29,78.05,17.59M,0.00
06-03-2009,80,79.82,82.61,77.23,23.71M,0.00
05-03-2009,79.96,84.78,85.26,78.94,24.22M,-0.04
04-03-2009,83.71,82.92,84.81,82.82,17.12M,0.01
03-03-2009,82.97,83.51,84.13,81.82,16.71M,-0.02
02-03-2009,84.38,87.12,87.5,83.56,18.57M,-0.05
27-02-2009,88.75,86.91,89.59,84.11,13.55M,0.02
26-02-2009,87.29,86.44,88.09,83.91,32.44M,0.01
25-02-2009,86.24,86.3,86.94,85.83,10.93M,0.01
24-02-2009,85.26,85.11,85.81,83.31,7.69M,-0.01
20-02-2009,86.46,87.41,87.69,85.17,10.00M,-0.02
19-02-2009,88.26,88.2,89.02,87.24,8.96M,0.01
18-02-2009,87.45,87.31,88.6,86.3,7.83M,0.00
17-02-2009,87.83,90.5,91.24,86.83,17.18M,-0.04
16-02-2009,91.19,93.79,93.79,90.6,14.00M,-0.03
13-02-2009,94.21,93.79,95.18,93.49,7.61M,0.01
12-02-2009,93.18,93.31,93.89,92.25,7.14M,0.00
11-02-2009,93.24,92.49,94.09,90.5,9.32M,-0.01
10-02-2009,94.49,92.32,95.6,91.93,8.32M,0.03
09-02-2009,91.74,90.6,92,90.1,10.29M,0.02
06-02-2009,89.64,89.1,90.28,88.44,11.71M,0.02
05-02-2009,88.23,89.3,89.77,87.81,10.77M,0.00
04-02-2009,88.39,90.8,92.05,88.02,37.99M,-0.01
03-02-2009,89.62,89.34,90.78,88.8,11.48M,0.01
02-02-2009,88.67,91.8,91.85,87.51,13.08M,-0.04
30-01-2009,92.35,89.04,93.29,89.04,7.48M,0.00
29-01-2009,92.14,92.28,93.55,90.8,23.44M,0.01
28-01-2009,90.97,89.6,91.38,89.34,13.17M,0.03
27-01-2009,88.75,89.5,90.19,87.8,12.27M,0.02
23-01-2009,87.05,89.06,90.93,86.32,15.93M,-0.03
22-01-2009,89.85,89.8,91.5,88,16.30M,0.01
21-01-2009,88.75,90.48,90.48,87.8,19.76M,-0.03
20-01-2009,91.04,92.29,92.29,90,8.01M,-0.03
19-01-2009,93.9,94.69,95.24,92.94,10.15M,0.00
16-01-2009,93.55,93.59,94.25,92.02,7.81M,0.01
15-01-2009,92.27,95.79,95.79,90.5,29.25M,-0.05
14-01-2009,97.54,104.24,104.24,96.48,28.33M,-0.01
13-01-2009,98.67,99.78,100.98,97.29,12.53M,-0.01
12-01-2009,100.15,100.98,101.97,98.78,18.06M,-0.01
09-01-2009,101.52,99.78,105.47,97.28,21.41M,0.01
07-01-2009,100.7,111.25,112.28,99.38,37.78M,-0.08
06-01-2009,109.8,104.18,111.05,103.17,18.29M,0.05
05-01-2009,104.18,102.77,104.72,102.58,10.06M,0.03
02-01-2009,101.34,101.77,102.97,100.1,10.47M,0.00
01-01-2009,101.15,99.38,101.75,99.38,5.29M,0.02
31-12-2008,99.61,102.97,102.97,98.63,10.39M,-0.02
30-12-2008,101.67,99.68,103.2,99.31,18.86M,0.02
29-12-2008,100.01,95.43,100.78,95.39,13.03M,0.03
26-12-2008,97.06,99.28,101.76,96.39,8.39M,-0.01
24-12-2008,98.2,99.22,99.78,93.99,13.55M,0.00
23-12-2008,97.76,100.98,101.57,97.1,13.17M,-0.04
22-12-2008,101.62,104.97,106.26,100.58,11.94M,-0.03
19-12-2008,104.98,104.87,108.19,103.03,20.29M,-0.01
18-12-2008,105.63,99.59,106.75,99.08,19.85M,0.06
17-12-2008,100,100.1,101.77,98.58,25.80M,0.02
16-12-2008,98.28,93.49,99.68,93.02,18.94M,0.04
15-12-2008,94.22,93.31,95.66,92.29,15.35M,0.03
12-12-2008,91.79,90.3,92.79,87.41,16.08M,0.00
11-12-2008,91.65,92.29,94.69,90.01,22.33M,-0.01
10-12-2008,92.17,90.1,93.79,90.1,32.30M,0.03
08-12-2008,89.6,92.24,95.19,88.01,24.64M,0.01
05-12-2008,88.83,91.8,93.39,86.31,19.92M,-0.02
04-12-2008,90.99,87.01,91.67,87.01,17.90M,0.04
03-12-2008,87.84,90,90,85.92,19.72M,-0.01
02-12-2008,88.39,87.8,89.28,84.32,17.36M,-0.01
01-12-2008,89.69,92.29,96.78,88.8,21.48M,-0.03
28-11-2008,92.07,80.83,93.39,78.98,27.59M,0.02
26-11-2008,90.4,84.81,92.24,83.31,24.27M,0.08
25-11-2008,83.35,84.31,88.3,82.65,24.17M,0.01
24-11-2008,82.73,85.31,85.51,80.62,18.04M,-0.03
21-11-2008,85.45,82.82,86.61,79.62,31.01M,0.04
20-11-2008,81.94,85.78,85.78,80.72,32.42M,-0.07
19-11-2008,88.26,92.29,97.18,86.82,24.39M,-0.03
18-11-2008,91.31,91.8,92.87,88.37,25.12M,-0.02
17-11-2008,93.44,100.89,101.25,90.43,35.85M,-0.07
14-11-2008,100.67,102.87,105.66,100.02,17.89M,0.00
12-11-2008,100.44,99.78,105.86,99,19.01M,-0.02
11-11-2008,102.11,107.96,108.56,101.29,12.35M,-0.07
10-11-2008,109.83,110.75,111.22,105.02,18.49M,0.01
07-11-2008,108.74,106.36,111.25,102.97,13.78M,0.03
06-11-2008,105.99,105.77,110.25,102.9,13.05M,-0.03
05-11-2008,109.59,114.25,116.54,107.76,15.01M,-0.01
04-11-2008,111.02,107.71,112.92,104.78,21.05M,0.04
03-11-2008,106.82,105.28,109.56,103.77,21.55M,0.05
31-10-2008,102.03,96.29,105.76,96.29,29.37M,0.08
29-10-2008,94.88,98.78,99.77,91.83,23.98M,-0.02
28-10-2008,96.47,97.58,98.78,94.31,2.14M,0.04
27-10-2008,93.02,94.79,94.79,86.01,17.11M,-0.04
24-10-2008,97.07,104.77,104.77,92.03,31.97M,-0.09
23-10-2008,107.19,102.27,111.55,99.48,17.07M,0.02
22-10-2008,104.62,106.76,110.25,103.77,12.96M,-0.04
21-10-2008,108.71,109.76,111.95,106.97,15.45M,0.01
20-10-2008,107.8,103.27,111.04,102.87,12.18M,0.05
17-10-2008,102.41,112.55,114.25,100.28,17.12M,-0.06
16-10-2008,109.09,109.66,111.88,103.87,27.31M,-0.04
15-10-2008,113.42,111.25,115.13,110.06,16.45M,0.00
14-10-2008,113.85,122.23,124.52,112.35,21.98M,-0.03
