date,price,open,high,low,vol,change
31-01-2023,224.85,225,228.35,223.9,7.42M,0.00
30-01-2023,225.85,222.4,226.8,220.75,6.17M,0.02
27-01-2023,222.4,227,227.65,219.3,6.17M,-0.02
25-01-2023,226.15,227.8,228,223.75,3.86M,-0.01
24-01-2023,227.6,230.2,232,227.2,4.25M,-0.01
23-01-2023,230.1,228.5,230.4,227.2,8.74M,0.01
20-01-2023,227,224.85,229.25,222.75,13.44M,0.01
19-01-2023,223.95,216.75,224.8,215.15,12.94M,0.03
18-01-2023,216.85,213.85,217.35,213.2,6.44M,0.02
17-01-2023,213.1,213.75,215.15,211.1,5.87M,0.00
16-01-2023,213.75,215.5,215.9,212.45,3.99M,-0.01
13-01-2023,215.1,214.2,215.7,213.55,3.67M,0.01
12-01-2023,213.9,215.5,217,212.8,7.16M,0.00
11-01-2023,213.4,217.3,218.5,212.2,7.64M,-0.02
10-01-2023,216.75,215,217.3,214.2,5.40M,0.01
09-01-2023,214.95,215.35,217.7,214,6.97M,0.00
06-01-2023,214.25,219,219.9,212,12.24M,-0.02
05-01-2023,218.15,216.8,218.9,215.2,8.82M,0.00
04-01-2023,217.15,224.35,224.5,216.25,9.55M,-0.03
03-01-2023,224.1,225,225.75,223,3.64M,0.00
02-01-2023,224.75,226.75,227.2,224.15,4.21M,0.00
30-12-2022,225.05,222.25,226.45,222.25,4.10M,0.02
29-12-2022,221.65,220.8,224.35,220.45,4.78M,-0.01
28-12-2022,223.2,221.25,224.25,220.55,3.02M,0.01
27-12-2022,221.25,222,222.9,219.65,2.96M,0.00
26-12-2022,220.75,215.05,221.6,214.25,3.12M,0.03
23-12-2022,215.05,220,222.9,214.2,6.56M,-0.03
22-12-2022,222.7,224.1,225.75,219.1,4.76M,-0.01
21-12-2022,223.85,226.5,227.7,222.05,3.68M,-0.01
20-12-2022,226.1,226.9,226.9,223.35,3.78M,-0.01
19-12-2022,227.3,224.65,227.85,224.5,4.07M,0.01
16-12-2022,224.65,228,229.9,223.3,7.76M,-0.02
15-12-2022,228.2,231.9,232.6,227.7,5.22M,-0.02
14-12-2022,232.15,231.75,233.2,231.35,4.73M,0.00
13-12-2022,231.55,233.4,234.45,231.1,4.88M,0.00
12-12-2022,232.4,228.35,233.7,228.1,7.88M,0.02
09-12-2022,228.85,230.55,232.35,227.8,4.20M,-0.01
08-12-2022,230.4,229.65,231.25,229,3.14M,0.00
07-12-2022,229.75,232.15,232.15,228.7,4.52M,-0.01
06-12-2022,231.65,232,232.5,229.5,7.39M,0.00
05-12-2022,231.25,226.6,231.8,226.5,8.73M,0.02
02-12-2022,226.6,226.1,228,225.3,6.33M,0.00
01-12-2022,226.1,228.4,230.4,224.9,22.44M,-0.01
30-11-2022,227.25,227.2,228.85,226.55,12.15M,0.00
29-11-2022,227.2,230.2,231.3,226.35,6.63M,-0.01
28-11-2022,229.85,230.55,232.75,228.4,8.15M,-0.01
25-11-2022,231.4,229.65,233.65,227.8,10.05M,0.01
24-11-2022,228.5,230.75,231.8,227.35,8.20M,-0.01
23-11-2022,230.6,230,231.1,229,5.69M,0.01
22-11-2022,229.1,228.55,230.7,227.65,5.89M,0.00
21-11-2022,229.45,229,230.4,226.7,6.43M,0.00
18-11-2022,229.55,232.45,233.55,228.2,6.41M,-0.01
17-11-2022,232.4,234.75,234.75,231,5.74M,-0.01
16-11-2022,234.9,233.35,235.5,230.4,9.76M,0.01
15-11-2022,232.15,234.4,238.85,230.6,20.23M,-0.06
14-11-2022,247.2,254.55,256.25,246.25,18.76M,-0.02
11-11-2022,253.25,258.8,258.9,252.4,20.17M,0.00
10-11-2022,253.6,257.95,260.5,252.1,20.83M,-0.01
